dataset_version,cutoff_utc,issue,board_status,board_priority,board_assignee,release_state,agents,first_utc,last_utc,measured_duration,artifact_count,done_records,pass_gate_events,block_gate_events,rework_events,test_gate_count,build_gate_count,review_gate_count,runtime_mutation_count,rollback_event_count,candidate_shas,merge_ready_sha,blocker_owner,next_executable_action,dependencies,human_blockers,latest_decisive_evidence,latest_decisive_evidence_sha256,artifact_path,artifact_kind,artifact_timestamp_utc,artifact_sha256,artifact_status,idempotency_key
release-ledger.v1,2026-07-27T16:33:11Z,ORQ-13,todo,high,agent:4dc3b1f5-451f-4f68-b71e-91e856fed286,BLOCK_V3_1_PROPOSAL_PENDING_FINAL_REVIEW,Agy-P0-A8;Antigravity;Codex56#B;Opus48#A;Opus48#B,2026-07-27T11:11:45Z,2026-07-27T16:17:00Z,NOT_MEASURED,29,16,8,4,5,1,1,8,0,0,NONE,NOT_READY,Independent final reviewer; Codex56-TL migration registrar/execution authority; owner for any destructive Git abort authorization,Independently review V3.1; replace the git reset --hard abort route with a non-destructive recovery or obtain separate explicit authorization; verify RES-ORQ13-001 TTL/fingerprints; provide DB-backed handler test proof; only then seek separate commit A/B execution authorization.,External ORQ-21 -> ORQ-12 -> ORQ-13; ORQ-13 -> ORQ-41 DB/generated work,V3.1 is proposal-only; no execution/commit. Earlier handler go test evidence is NOT_PROVEN because TestMain can os.Exit(0) before m.Run without DB. Destructive reset --hard is rejected unless separately authorized. RES-ORQ13-001 expires 2026-07-28T15:37:12Z; lint risk remains unmeasured.,.deploy-control/p0/evidence/orq13-v3-adversarial-peer-review.md,471fd719f7bf78317f01fb074d36c6190f0e45903e3c75e18049d8a9d2f99556,.deploy-control/p0/checkins/CHECKOUT__Codex56-B__ORQ-13-PATCH-AUDIT__20260727T111145Z.json,checkin,2026-07-27T11:11:45Z,463a1ce5320d6c76fac0ffbdf3f89488c35d5c2bca41b72fa8ff8ee4d7825b0e,ACTIVE,release-ledger:v1:ORQ-13:463a1ce5320d6c76fac0ffbdf3f89488c35d5c2bca41b72fa8ff8ee4d7825b0e
release-ledger.v1,2026-07-27T16:33:11Z,ORQ-13,todo,high,agent:4dc3b1f5-451f-4f68-b71e-91e856fed286,BLOCK_V3_1_PROPOSAL_PENDING_FINAL_REVIEW,Agy-P0-A8;Antigravity;Codex56#B;Opus48#A;Opus48#B,2026-07-27T11:11:45Z,2026-07-27T16:17:00Z,NOT_MEASURED,29,16,8,4,5,1,1,8,0,0,NONE,NOT_READY,Independent final reviewer; Codex56-TL migration registrar/execution authority; owner for any destructive Git abort authorization,Independently review V3.1; replace the git reset --hard abort route with a non-destructive recovery or obtain separate explicit authorization; verify RES-ORQ13-001 TTL/fingerprints; provide DB-backed handler test proof; only then seek separate commit A/B execution authorization.,External ORQ-21 -> ORQ-12 -> ORQ-13; ORQ-13 -> ORQ-41 DB/generated work,V3.1 is proposal-only; no execution/commit. Earlier handler go test evidence is NOT_PROVEN because TestMain can os.Exit(0) before m.Run without DB. Destructive reset --hard is rejected unless separately authorized. RES-ORQ13-001 expires 2026-07-28T15:37:12Z; lint risk remains unmeasured.,.deploy-control/p0/evidence/orq13-v3-adversarial-peer-review.md,471fd719f7bf78317f01fb074d36c6190f0e45903e3c75e18049d8a9d2f99556,.deploy-control/p0/evidence/gtl-orq13-salvage-map.md,evidence,2026-07-27T11:43:00Z,ff00168fcc3379dd63a9f4955470c343a6aaa82f169e20c6e3a36d91a76db6e1,ACTIVE,release-ledger:v1:ORQ-13:ff00168fcc3379dd63a9f4955470c343a6aaa82f169e20c6e3a36d91a76db6e1
release-ledger.v1,2026-07-27T16:33:11Z,ORQ-13,todo,high,agent:4dc3b1f5-451f-4f68-b71e-91e856fed286,BLOCK_V3_1_PROPOSAL_PENDING_FINAL_REVIEW,Agy-P0-A8;Antigravity;Codex56#B;Opus48#A;Opus48#B,2026-07-27T11:11:45Z,2026-07-27T16:17:00Z,NOT_MEASURED,29,16,8,4,5,1,1,8,0,0,NONE,NOT_READY,Independent final reviewer; Codex56-TL migration registrar/execution authority; owner for any destructive Git abort authorization,Independently review V3.1; replace the git reset --hard abort route with a non-destructive recovery or obtain separate explicit authorization; verify RES-ORQ13-001 TTL/fingerprints; provide DB-backed handler test proof; only then seek separate commit A/B execution authorization.,External ORQ-21 -> ORQ-12 -> ORQ-13; ORQ-13 -> ORQ-41 DB/generated work,V3.1 is proposal-only; no execution/commit. Earlier handler go test evidence is NOT_PROVEN because TestMain can os.Exit(0) before m.Run without DB. Destructive reset --hard is rejected unless separately authorized. RES-ORQ13-001 expires 2026-07-28T15:37:12Z; lint risk remains unmeasured.,.deploy-control/p0/evidence/orq13-v3-adversarial-peer-review.md,471fd719f7bf78317f01fb074d36c6190f0e45903e3c75e18049d8a9d2f99556,.deploy-control/p0/checkins/Antigravity__GTL-ORQ13-SALVAGE__20260727T114325Z.json,checkin,2026-07-27T11:43:25Z,2ed59df93c737119f4df190f5ee264fbd3793a85bea90c5eca16b731c5489730,ACTIVE,release-ledger:v1:ORQ-13:2ed59df93c737119f4df190f5ee264fbd3793a85bea90c5eca16b731c5489730
release-ledger.v1,2026-07-27T16:33:11Z,ORQ-13,todo,high,agent:4dc3b1f5-451f-4f68-b71e-91e856fed286,BLOCK_V3_1_PROPOSAL_PENDING_FINAL_REVIEW,Agy-P0-A8;Antigravity;Codex56#B;Opus48#A;Opus48#B,2026-07-27T11:11:45Z,2026-07-27T16:17:00Z,NOT_MEASURED,29,16,8,4,5,1,1,8,0,0,NONE,NOT_READY,Independent final reviewer; Codex56-TL migration registrar/execution authority; owner for any destructive Git abort authorization,Independently review V3.1; replace the git reset --hard abort route with a non-destructive recovery or obtain separate explicit authorization; verify RES-ORQ13-001 TTL/fingerprints; provide DB-backed handler test proof; only then seek separate commit A/B execution authorization.,External ORQ-21 -> ORQ-12 -> ORQ-13; ORQ-13 -> ORQ-41 DB/generated work,V3.1 is proposal-only; no execution/commit. Earlier handler go test evidence is NOT_PROVEN because TestMain can os.Exit(0) before m.Run without DB. Destructive reset --hard is rejected unless separately authorized. RES-ORQ13-001 expires 2026-07-28T15:37:12Z; lint risk remains unmeasured.,.deploy-control/p0/evidence/orq13-v3-adversarial-peer-review.md,471fd719f7bf78317f01fb074d36c6190f0e45903e3c75e18049d8a9d2f99556,.deploy-control/p0/checkins/CHECKOUT__Agy-P0-A8__gtl-orq13-salvage-peer-review__20260727T114413Z.json,checkin,2026-07-27T11:44:13Z,f5f882cc6168f7a15b0f689b28a7e558b4d960b8ae14143d67f9c247cf36448b,ACTIVE,release-ledger:v1:ORQ-13:f5f882cc6168f7a15b0f689b28a7e558b4d960b8ae14143d67f9c247cf36448b
release-ledger.v1,2026-07-27T16:33:11Z,ORQ-13,todo,high,agent:4dc3b1f5-451f-4f68-b71e-91e856fed286,BLOCK_V3_1_PROPOSAL_PENDING_FINAL_REVIEW,Agy-P0-A8;Antigravity;Codex56#B;Opus48#A;Opus48#B,2026-07-27T11:11:45Z,2026-07-27T16:17:00Z,NOT_MEASURED,29,16,8,4,5,1,1,8,0,0,NONE,NOT_READY,Independent final reviewer; Codex56-TL migration registrar/execution authority; owner for any destructive Git abort authorization,Independently review V3.1; replace the git reset --hard abort route with a non-destructive recovery or obtain separate explicit authorization; verify RES-ORQ13-001 TTL/fingerprints; provide DB-backed handler test proof; only then seek separate commit A/B execution authorization.,External ORQ-21 -> ORQ-12 -> ORQ-13; ORQ-13 -> ORQ-41 DB/generated work,V3.1 is proposal-only; no execution/commit. Earlier handler go test evidence is NOT_PROVEN because TestMain can os.Exit(0) before m.Run without DB. Destructive reset --hard is rejected unless separately authorized. RES-ORQ13-001 expires 2026-07-28T15:37:12Z; lint risk remains unmeasured.,.deploy-control/p0/evidence/orq13-v3-adversarial-peer-review.md,471fd719f7bf78317f01fb074d36c6190f0e45903e3c75e18049d8a9d2f99556,.deploy-control/p0/evidence/gtl-orq13-salvage-peer-review.md,evidence,2026-07-27T11:44:13Z,72b86757bac7dc23c8ead4d4cc0d983c932bc2efff494aa76b3146205db7e509,ACTIVE,release-ledger:v1:ORQ-13:72b86757bac7dc23c8ead4d4cc0d983c932bc2efff494aa76b3146205db7e509
release-ledger.v1,2026-07-27T16:33:11Z,ORQ-13,todo,high,agent:4dc3b1f5-451f-4f68-b71e-91e856fed286,BLOCK_V3_1_PROPOSAL_PENDING_FINAL_REVIEW,Agy-P0-A8;Antigravity;Codex56#B;Opus48#A;Opus48#B,2026-07-27T11:11:45Z,2026-07-27T16:17:00Z,NOT_MEASURED,29,16,8,4,5,1,1,8,0,0,NONE,NOT_READY,Independent final reviewer; Codex56-TL migration registrar/execution authority; owner for any destructive Git abort authorization,Independently review V3.1; replace the git reset --hard abort route with a non-destructive recovery or obtain separate explicit authorization; verify RES-ORQ13-001 TTL/fingerprints; provide DB-backed handler test proof; only then seek separate commit A/B execution authorization.,External ORQ-21 -> ORQ-12 -> ORQ-13; ORQ-13 -> ORQ-41 DB/generated work,V3.1 is proposal-only; no execution/commit. Earlier handler go test evidence is NOT_PROVEN because TestMain can os.Exit(0) before m.Run without DB. Destructive reset --hard is rejected unless separately authorized. RES-ORQ13-001 expires 2026-07-28T15:37:12Z; lint risk remains unmeasured.,.deploy-control/p0/evidence/orq13-v3-adversarial-peer-review.md,471fd719f7bf78317f01fb074d36c6190f0e45903e3c75e18049d8a9d2f99556,.deploy-control/p0/checkins/CHECKOUT__Agy-P0-A8__gtl-orq13-phase1-peer-review__20260727T120420Z.json,checkin,2026-07-27T12:04:20Z,52a50b307ae0907095a922f04bb898194c41fbd5f5d45022571652b0f202b2b6,ACTIVE,release-ledger:v1:ORQ-13:52a50b307ae0907095a922f04bb898194c41fbd5f5d45022571652b0f202b2b6
release-ledger.v1,2026-07-27T16:33:11Z,ORQ-13,todo,high,agent:4dc3b1f5-451f-4f68-b71e-91e856fed286,BLOCK_V3_1_PROPOSAL_PENDING_FINAL_REVIEW,Agy-P0-A8;Antigravity;Codex56#B;Opus48#A;Opus48#B,2026-07-27T11:11:45Z,2026-07-27T16:17:00Z,NOT_MEASURED,29,16,8,4,5,1,1,8,0,0,NONE,NOT_READY,Independent final reviewer; Codex56-TL migration registrar/execution authority; owner for any destructive Git abort authorization,Independently review V3.1; replace the git reset --hard abort route with a non-destructive recovery or obtain separate explicit authorization; verify RES-ORQ13-001 TTL/fingerprints; provide DB-backed handler test proof; only then seek separate commit A/B execution authorization.,External ORQ-21 -> ORQ-12 -> ORQ-13; ORQ-13 -> ORQ-41 DB/generated work,V3.1 is proposal-only; no execution/commit. Earlier handler go test evidence is NOT_PROVEN because TestMain can os.Exit(0) before m.Run without DB. Destructive reset --hard is rejected unless separately authorized. RES-ORQ13-001 expires 2026-07-28T15:37:12Z; lint risk remains unmeasured.,.deploy-control/p0/evidence/orq13-v3-adversarial-peer-review.md,471fd719f7bf78317f01fb074d36c6190f0e45903e3c75e18049d8a9d2f99556,.deploy-control/p0/evidence/gtl-i03-orq13-phase1-implementation.md,evidence,2026-07-27T12:05:00Z,c052c3696b043bb3a5ee8434cb64ee0935742b6b33310acba6d7dd28f317bedb,PARTIAL_HANDLER_TEST_GATE_NOT_PROVEN,release-ledger:v1:ORQ-13:c052c3696b043bb3a5ee8434cb64ee0935742b6b33310acba6d7dd28f317bedb
release-ledger.v1,2026-07-27T16:33:11Z,ORQ-13,todo,high,agent:4dc3b1f5-451f-4f68-b71e-91e856fed286,BLOCK_V3_1_PROPOSAL_PENDING_FINAL_REVIEW,Agy-P0-A8;Antigravity;Codex56#B;Opus48#A;Opus48#B,2026-07-27T11:11:45Z,2026-07-27T16:17:00Z,NOT_MEASURED,29,16,8,4,5,1,1,8,0,0,NONE,NOT_READY,Independent final reviewer; Codex56-TL migration registrar/execution authority; owner for any destructive Git abort authorization,Independently review V3.1; replace the git reset --hard abort route with a non-destructive recovery or obtain separate explicit authorization; verify RES-ORQ13-001 TTL/fingerprints; provide DB-backed handler test proof; only then seek separate commit A/B execution authorization.,External ORQ-21 -> ORQ-12 -> ORQ-13; ORQ-13 -> ORQ-41 DB/generated work,V3.1 is proposal-only; no execution/commit. Earlier handler go test evidence is NOT_PROVEN because TestMain can os.Exit(0) before m.Run without DB. Destructive reset --hard is rejected unless separately authorized. RES-ORQ13-001 expires 2026-07-28T15:37:12Z; lint risk remains unmeasured.,.deploy-control/p0/evidence/orq13-v3-adversarial-peer-review.md,471fd719f7bf78317f01fb074d36c6190f0e45903e3c75e18049d8a9d2f99556,.deploy-control/p0/checkins/CHECKOUT__Agy-P0-A8__gtl-orq13-phase1-peer-review__20260727T120537Z.json,checkin,2026-07-27T12:05:37Z,8103d22a34fb40b3056b1e16760b7fb2d069ba9dd7868af8f651f10286e477f3,ACTIVE,release-ledger:v1:ORQ-13:8103d22a34fb40b3056b1e16760b7fb2d069ba9dd7868af8f651f10286e477f3
release-ledger.v1,2026-07-27T16:33:11Z,ORQ-13,todo,high,agent:4dc3b1f5-451f-4f68-b71e-91e856fed286,BLOCK_V3_1_PROPOSAL_PENDING_FINAL_REVIEW,Agy-P0-A8;Antigravity;Codex56#B;Opus48#A;Opus48#B,2026-07-27T11:11:45Z,2026-07-27T16:17:00Z,NOT_MEASURED,29,16,8,4,5,1,1,8,0,0,NONE,NOT_READY,Independent final reviewer; Codex56-TL migration registrar/execution authority; owner for any destructive Git abort authorization,Independently review V3.1; replace the git reset --hard abort route with a non-destructive recovery or obtain separate explicit authorization; verify RES-ORQ13-001 TTL/fingerprints; provide DB-backed handler test proof; only then seek separate commit A/B execution authorization.,External ORQ-21 -> ORQ-12 -> ORQ-13; ORQ-13 -> ORQ-41 DB/generated work,V3.1 is proposal-only; no execution/commit. Earlier handler go test evidence is NOT_PROVEN because TestMain can os.Exit(0) before m.Run without DB. Destructive reset --hard is rejected unless separately authorized. RES-ORQ13-001 expires 2026-07-28T15:37:12Z; lint risk remains unmeasured.,.deploy-control/p0/evidence/orq13-v3-adversarial-peer-review.md,471fd719f7bf78317f01fb074d36c6190f0e45903e3c75e18049d8a9d2f99556,.deploy-control/p0/evidence/gtl-orq13-phase1-peer-review.md,evidence,2026-07-27T12:05:37Z,922c3fe03e16c0f441b8688222d25d006a60cd45bbe64e1a9de6f915c3442c5b,ACTIVE,release-ledger:v1:ORQ-13:922c3fe03e16c0f441b8688222d25d006a60cd45bbe64e1a9de6f915c3442c5b
release-ledger.v1,2026-07-27T16:33:11Z,ORQ-13,todo,high,agent:4dc3b1f5-451f-4f68-b71e-91e856fed286,BLOCK_V3_1_PROPOSAL_PENDING_FINAL_REVIEW,Agy-P0-A8;Antigravity;Codex56#B;Opus48#A;Opus48#B,2026-07-27T11:11:45Z,2026-07-27T16:17:00Z,NOT_MEASURED,29,16,8,4,5,1,1,8,0,0,NONE,NOT_READY,Independent final reviewer; Codex56-TL migration registrar/execution authority; owner for any destructive Git abort authorization,Independently review V3.1; replace the git reset --hard abort route with a non-destructive recovery or obtain separate explicit authorization; verify RES-ORQ13-001 TTL/fingerprints; provide DB-backed handler test proof; only then seek separate commit A/B execution authorization.,External ORQ-21 -> ORQ-12 -> ORQ-13; ORQ-13 -> ORQ-41 DB/generated work,V3.1 is proposal-only; no execution/commit. Earlier handler go test evidence is NOT_PROVEN because TestMain can os.Exit(0) before m.Run without DB. Destructive reset --hard is rejected unless separately authorized. RES-ORQ13-001 expires 2026-07-28T15:37:12Z; lint risk remains unmeasured.,.deploy-control/p0/evidence/orq13-v3-adversarial-peer-review.md,471fd719f7bf78317f01fb074d36c6190f0e45903e3c75e18049d8a9d2f99556,.deploy-control/p0/checkins/CHECKOUT__Opus48-B__GTL-I03__GTL-I03-ORQ13-PHASE1-THINKING-LEVEL__20260727T120600Z.json,checkin,2026-07-27T12:06:00Z,67c0fff402f5cf77f5df9db86c5de7e613b154261a6c6e49e223e9de41e55048,PARTIAL_HANDLER_TEST_GATE_NOT_PROVEN,release-ledger:v1:ORQ-13:67c0fff402f5cf77f5df9db86c5de7e613b154261a6c6e49e223e9de41e55048
